ux,uy,uz,Ts,CO2,H2O
 -0.578250, -3.603500, -0.694500,  8.752172, 16.950000,406.900000
 -0.567000, -3.634250, -0.683250,  8.698601, 16.950000,404.900000
 -0.992000, -4.160750, -0.657500,  8.720377, 16.950000,405.300000
 -1.248500, -3.977000, -0.977250,  8.700236, 16.930000,407.900000
 -0.972000, -4.437250, -0.924500,  8.835965, 16.950000,404.400000
 -0.996250, -4.514500, -0.911000,  8.723700, 16.950000,405.000000
 -1.217750, -4.364500, -0.844000,  8.728709, 16.940000,408.600000
 -0.847000, -4.625000, -0.895500,  8.435673, 16.960000,402.600000
 -1.177000, -4.489250, -1.101750,  8.514359, 16.970000,400.600000
 -1.342000, -4.386250, -1.038250,  8.554576, 16.980000,397.400000
 -1.306000, -4.417250, -1.038250,  8.447373, 16.970000,401.000000
 -1.143500, -4.272500, -0.964250,  8.095914, 16.990000,397.900000
 -1.518250, -4.234000, -1.038250,  8.370381, 16.970000,401.400000
 -1.384500, -3.928500, -1.309000,  8.534442, 16.980000,399.200000
 -1.784000, -3.945750, -1.264000,  8.572973, 17.000000,395.700000
 -1.588500, -3.801000, -1.306500,  8.569600, 16.980000,400.000000
 -1.730750, -3.468750, -1.210250,  8.569600, 16.960000,401.900000
 -1.461000, -3.487750, -1.335500,  8.534442, 16.960000,401.200000
 -1.461500, -3.645000, -1.552250,  8.561271, 16.970000,401.400000
 -1.356750, -3.809500, -1.504000,  8.591371, 16.980000,399.900000
 -1.449750, -3.722750, -1.436000,  8.608134, 16.970000,401.700000
 -1.242750, -3.778000, -1.409500,  8.608134, 16.970000,402.300000
 -1.314750, -3.542000, -1.344250,  8.596431, 16.970000,403.100000
 -1.398500, -3.588750, -1.361750,  8.603126, 16.960000,403.000000
 -1.377000, -3.550000, -1.383000,  8.619838, 16.960000,402.500000
 -1.450000, -3.448750, -1.617750,  8.790719, 16.960000,402.300000
 -1.604000, -3.469000, -1.641500,  8.626584, 16.970000,401.900000
 -2.007750, -3.523500, -1.559750,  8.603126, 16.970000,402.500000
 -1.700000, -3.763500, -1.608500,  8.526061, 16.970000,401.900000
 -2.230000, -3.628000, -1.688250,  8.626584, 16.960000,402.300000
 -2.207500, -3.925750, -1.726500,  8.609820, 16.970000,401.800000
 -1.960250, -3.791250, -1.880000,  8.593058, 16.970000,401.900000
 -1.620000, -3.592500, -2.212500,  8.594744, 16.960000,401.500000
 -1.736000, -3.444000, -2.033500,  8.609820, 16.960000,402.300000
 -1.616250, -3.557250, -1.985250,  8.608134, 16.970000,402.300000
 -1.697500, -3.382750, -2.266500,  8.598065, 16.960000,402.300000
 -1.547250, -3.670250, -2.422500,  8.613142, 16.960000,402.300000
 -1.581750, -3.731250, -2.104500,  8.581354, 16.960000,402.500000
 -1.666500, -3.730000, -1.884750,  8.619838, 16.960000,404.000000
 -1.527000, -3.559500, -2.030250,  8.626584, 16.960000,403.200000
 -1.682500, -3.345750, -2.182250,  8.676826, 16.960000,403.600000
 -1.513000, -3.520000, -1.824750,  8.564592, 16.950000,403.800000
 -2.302000, -3.931500, -2.147750,  8.633279, 16.960000,404.000000
 -1.948000, -3.956250, -1.828500,  8.670131, 16.950000,404.600000
 -2.053000, -3.683500, -2.230000,  8.591371, 16.960000,402.000000
 -2.222500, -3.672500, -2.229000,  8.636601, 16.960000,404.400000
 -2.256500, -3.703250, -2.286750,  8.666757, 16.960000,403.100000
 -2.279750, -3.995750, -2.262500,  8.792406, 16.960000,403.900000
 -2.427250, -3.791000, -2.232000,  8.649992, 16.970000,403.100000
 -2.370000, -4.028500, -2.247750,  8.629906, 16.950000,406.100000
 -2.076000, -4.036250, -2.075500,  8.569600, 16.960000,403.200000
 -2.554000, -3.955250, -2.256000,  8.629906, 16.960000,402.700000
 -1.969250, -4.123000, -2.213750,  8.636601, 16.960000,401.300000
 -1.846750, -4.142500, -2.176250,  8.613142, 16.960000,402.800000
 -2.366750, -3.795250, -2.009500,  8.633279, 16.950000,404.000000
 -2.342000, -3.863500, -2.036750,  8.676826, 16.960000,404.500000
 -2.397000, -4.006750, -2.064000,  8.743789, 16.970000,401.900000
 -2.518750, -3.632250, -1.931000,  8.794042, 16.960000,404.900000
 -2.336250, -3.690500, -2.019000,  8.795729, 16.950000,405.700000
 -2.095750, -3.227750, -2.255250,  8.750485, 16.940000,407.100000
 -2.054250, -3.065500, -2.258750,  8.661748, 16.950000,406.800000
 -2.057250, -3.126500, -2.463500,  8.727073, 16.940000,407.500000
 -2.031000, -2.882500, -2.220750,  8.644983, 16.950000,406.800000
 -2.117750, -2.954750, -2.096500,  8.683522, 16.960000,404.700000
 -2.347250, -3.328750, -1.910000,  8.668444, 16.950000,405.400000
 -2.364000, -3.191500, -1.844750,  8.678462, 16.950000,406.300000
 -2.218750, -3.080500, -1.817000,  8.722013, 16.950000,406.900000
 -2.171250, -3.176750, -1.792750,  8.773951, 16.940000,407.400000
 -2.449500, -2.717750, -1.728750,  8.742153, 16.950000,407.100000
 -2.543000, -2.945750, -1.883750,  8.785658, 16.950000,407.900000
 -2.404500, -2.651750, -1.812500,  8.745476, 16.950000,407.700000
 -1.928500, -2.935250, -2.098250,  8.730396, 16.950000,407.000000
 -1.865000, -2.814000, -1.736750,  8.757182, 16.940000,407.700000
 -2.002750, -2.720500, -1.743750,  8.740466, 16.940000,407.400000
 -2.080250, -2.858750, -1.976500,  8.787345, 16.940000,407.000000
